  Lamda      L         MW        EW        QLR      POI7      POI17
     0     0.118     0.689     0.426     3.198     2.693     7.757 
     1     0.127     0.757     0.476     3.416     2.740     7.825 
     2     0.137     0.806     0.516     3.594     2.957     8.218 
     3     0.169     1.015     0.661     4.106     3.301     8.713 
     4     0.205     1.234     0.826     4.848     3.786     9.473 
     5     0.266     1.632     1.111     5.689     4.426    10.354 
     6     0.327     2.018     1.419     6.682     4.961    11.196 
     7     0.387     2.390     1.762     7.626     5.951    12.650 
     8     0.490     3.081     2.355     9.160     6.689    13.839 
     9     0.593     3.699     2.910    10.660     7.699    15.335 
    10     0.670     4.222     3.413    11.841     8.849    16.920 
    11     0.768     4.776     3.868    13.098    10.487    19.201 
    12     0.908     5.767     4.925    15.451    11.598    20.570 
    13     1.036     6.586     5.684    17.094    13.007    22.944 
    14     1.214     7.703     6.670    19.423    14.554    24.962 
    15     1.360     8.683     7.690    21.682    16.153    27.135 
    16     1.471     9.467     8.477    23.342    18.073    30.030 
    17     1.576    10.101     9.191    24.920    19.563    32.209 
    18     1.799    11.639    10.693    28.174    21.662    35.426 
    19     2.016    13.039    12.024    30.736    24.160    38.465 
    20     2.127    13.900    13.089    33.313    25.479    40.583 
    21     2.327    15.214    14.440    36.109    27.687    44.104 
    22     2.569    16.806    16.191    39.673    30.260    47.239 
    23     2.785    18.330    17.332    41.955    32.645    50.881 
    24     2.899    19.020    18.699    45.056    35.011    54.426 
    25     3.108    20.562    20.464    48.647    37.481    58.172 
    26     3.278    21.837    21.667    50.983    39.907    60.842 
    27     3.652    24.350    23.851    55.514    41.146    63.561 
    28     3.910    26.248    25.538    59.278    43.212    66.782 
    29     4.015    27.089    26.762    61.311    47.135    71.577 
    30     4.120    27.758    27.874    64.016    50.134    76.343 
