  Lamda      L         MW        EW        QLR      POI7      POI17
  0.00  0.118361  0.692090  0.425352  3.204493  2.692783  7.756800 
  0.10  0.118564  0.699152  0.433185  3.222391  2.712174  7.822631 
  0.20  0.119929  0.708779  0.439941  3.246274  2.709773  7.839678 
  0.30  0.121227  0.711122  0.440263  3.230271  2.722372  7.761400 
  0.40  0.121518  0.721550  0.445626  3.271006  2.739808  7.825066 
  0.50  0.122113  0.715431  0.442097  3.272104  2.755019  7.929140 
  0.60  0.121166  0.714505  0.447057  3.282841  2.886063  8.096667 
  0.70  0.121852  0.716332  0.442598  3.279791  2.910356  8.178605 
  0.80  0.123371  0.724700  0.448489  3.318072  2.957252  8.218137 
  0.90  0.122251  0.720195  0.448194  3.317920  2.996177  8.313396 
  1.00  0.126091  0.740041  0.461086  3.362705  3.079840  8.355197 
  1.10  0.125940  0.744575  0.468811  3.404981  3.195860  8.518831 
  1.20  0.129088  0.756834  0.472631  3.388049  3.301299  8.713004 
  1.30  0.126851  0.751262  0.465345  3.397512  3.369853  8.861718 
  1.40  0.129300  0.763887  0.477447  3.441849  3.522827  9.108559 
  1.50  0.132359  0.782828  0.492308  3.452871  3.652894  9.241202 
  1.60  0.133917  0.790980  0.502397  3.533348  3.786466  9.472611 
  1.70  0.135800  0.802115  0.510155  3.567982  3.903541  9.630957 
  1.80  0.137097  0.815403  0.514049  3.591678  4.000033  9.759736 
  1.90  0.142857  0.858178  0.541684  3.685631  4.134749 10.032470 
  2.00  0.144543  0.857498  0.543523  3.712562  4.426275 10.354462 
  2.10  0.143616  0.852572  0.541978  3.724141  4.448017 10.516208 
  2.20  0.146272  0.874148  0.558412  3.748933  4.623187 10.723388 
  2.30  0.149612  0.894238  0.573330  3.839623  4.868263 11.095171 
  2.40  0.153399  0.921308  0.587596  3.879339  4.960730 11.196246 
  2.50  0.152767  0.913532  0.584486  3.913066  5.220864 11.581529 
  2.60  0.158415  0.940494  0.610829  3.994486  5.389720 11.780856 
  2.70  0.159506  0.948880  0.613604  3.996788  5.543997 12.106873 
  2.80  0.162451  0.976683  0.628419  3.985293  5.950681 12.650478 
  2.90  0.166968  0.998811  0.646709  4.113198  6.267095 13.110852 
  3.00  0.169614  1.017701  0.658527  4.152341  6.333619 13.214874 
  3.10  0.174093  1.043004  0.682607  4.248450  6.534689 13.583232 
  3.20  0.174907  1.057241  0.685962  4.289134  6.688502 13.838600 
  3.30  0.182033  1.092039  0.714030  4.375838  6.997333 14.195105 
  3.40  0.181308  1.090944  0.716228  4.383446  7.358103 14.615275 
  3.50  0.189294  1.143399  0.755132  4.518125  7.453192 14.942888 
  3.60  0.192877  1.161652  0.766799  4.570026  7.699124 15.335271 
  3.70  0.194508  1.166351  0.781085  4.627915  7.991999 15.400649 
  3.80  0.200544  1.212205  0.809731  4.692105  8.348680 16.203901 
  3.90  0.207502  1.260238  0.836647  4.825699  8.663178 16.470144 
  4.00  0.209747  1.267521  0.847917  4.851879  8.849160 16.919866 
  4.10  0.214273  1.298400  0.880083  4.999280  8.922841 17.090386 
  4.20  0.216538  1.316219  0.885611  5.037784  9.487093 17.788735 
  4.30  0.220707  1.347237  0.906057  5.074468  9.939238 18.234106 
  4.40  0.220564  1.340180  0.914787  5.122345 10.486682 19.200820 
  4.50  0.234987  1.439136  0.965886  5.268835 10.266275 18.845963 
  4.60  0.235696  1.435341  0.971961  5.285116 11.009344 19.828691 
  4.70  0.241276  1.472093  0.996144  5.365248 11.562016 20.392201 
  4.80  0.239077  1.462577  0.996927  5.337136 11.597670 20.569673 
  4.90  0.253109  1.548941  1.059009  5.588650 11.680600 20.957500 
  5.00  0.262536  1.609086  1.115452  5.763058 12.271994 21.593546 
  5.10  0.263827  1.603066  1.110324  5.740401 12.245037 21.789399 
  5.20  0.266253  1.623433  1.131795  5.796752 13.007147 22.944414 
  5.30  0.277312  1.705275  1.193736  5.972590 13.350276 23.288218 
  5.40  0.280848  1.724325  1.201021  6.062902 13.720024 23.693157 
  5.50  0.284068  1.747589  1.211834  6.039257 13.993849 24.377442 
  5.60  0.294972  1.809346  1.280087  6.244102 14.553940 24.961966 
  5.70  0.293418  1.800512  1.283588  6.250771 15.349080 26.130893 
  5.80  0.305854  1.883232  1.322046  6.444041 14.822023 25.703238 
  5.90  0.320501  1.972160  1.397890  6.622876 15.623871 26.831779 
  6.00  0.311070  1.918042  1.369009  6.529654 16.152716 27.135204 
  6.10  0.321800  1.994578  1.418451  6.687937 16.787557 27.841039 
  6.20  0.330261  2.040773  1.459018  6.810621 17.179966 28.795373 
  6.30  0.341844  2.102719  1.515080  6.922915 17.585801 29.104844 
  6.40  0.349495  2.163016  1.562851  7.151196 18.073331 30.029714 
  6.50  0.346909  2.139506  1.552882  7.083238 17.887502 29.952188 
  6.60  0.355748  2.200699  1.605717  7.232661 18.799488 31.313975 
  6.70  0.377145  2.341476  1.690921  7.467805 19.504057 32.304903 
  6.80  0.383096  2.385762  1.728859  7.515974 19.563325 32.209022 
  6.90  0.375461  2.330764  1.690999  7.513811 20.938512 33.830913 
  7.00  0.388953  2.406287  1.776255  7.680256 20.639634 33.704983 
  7.10  0.400732  2.479570  1.838146  7.882678 21.778180 35.258823 
  7.20  0.392080  2.420944  1.797697  7.755015 21.662143 35.426269 
  7.30  0.405705  2.529083  1.903576  8.055211 22.663892 36.782970 
  7.40  0.413074  2.555090  1.899885  8.062772 22.839253 36.794431 
  7.50  0.437903  2.745276  2.070798  8.489992 24.401329 38.880151 
  7.60  0.439905  2.731749  2.084405  8.491389 24.160486 38.464922 
  7.70  0.437356  2.723209  2.043595  8.466641 23.643144 38.224346 
  7.80  0.454465  2.805883  2.086115  8.514581 24.542592 39.378124 
  7.90  0.462214  2.871750  2.177017  8.857381 24.966451 39.899929 
  8.00  0.473780  2.942674  2.246442  8.984035 25.479446 40.583263 
  8.10  0.480228  2.973541  2.283314  9.087886 25.903961 41.243848 
  8.20  0.497605  3.089118  2.331119  9.184648 25.743372 41.504708 
  8.30  0.499146  3.108459  2.391809  9.369558 27.863648 43.773057 
  8.40  0.506554  3.147814  2.445440  9.533689 27.686989 44.104067 
  8.50  0.519695  3.242383  2.535505  9.704018 27.361306 43.344922 
  8.60  0.535248  3.336278  2.574415  9.810002 29.366813 46.503088 
  8.70  0.529485  3.306189  2.529977  9.737934 28.985979 45.936974 
  8.80  0.531586  3.315460  2.569437  9.793093 30.260073 47.238811 
  8.90  0.540393  3.391403  2.654640 10.059396 30.441470 48.012774 
  9.00  0.566026  3.551697  2.785748 10.429201 32.005808 50.037240 
  9.10  0.569772  3.544738  2.764034 10.320114 32.117993 50.034199 
  9.20  0.583422  3.664445  2.856712 10.581985 32.644990 50.880546 
  9.30  0.570777  3.573791  2.845190 10.503875 32.303545 50.649168 
  9.40  0.598115  3.722281  2.957796 10.805851 35.019001 54.105113 
  9.50  0.604717  3.778590  3.016369 10.967995 35.171940 54.218370 
  9.60  0.624104  3.915594  3.083799 11.093218 35.011428 54.426336 
  9.70  0.638660  4.007560  3.203517 11.385951 35.246654 54.652447 
  9.80  0.650147  4.104742  3.221031 11.425010 36.215148 55.974186 
  9.90  0.652936  4.091746  3.252535 11.516333 35.916967 55.694770 
 10.00  0.665866  4.177035  3.346122 11.677924 37.481186 58.172443 
 10.50  0.713713  4.457584  3.663414 12.418562 37.661667 58.080151 
 11.00  0.774517  4.887162  4.062564 13.401247 38.198098 58.186944 
 11.50  0.845114  5.310784  4.398137 14.189684 38.690530 59.957494 
 12.00  0.903769  5.684184  4.784577 15.151796 39.907419 60.841876 
 12.50  0.967707  6.096555  5.200107 16.092565 41.064433 62.591053 
 13.00  1.039834  6.591462  5.672071 17.080195 40.006154 61.221504 
 13.50  1.108668  7.063999  6.083037 18.108054 42.139083 64.154857 
 14.00  1.156718  7.337798  6.457682 18.987571 41.145973 63.560875 
 14.50  1.261728  8.033878  7.098582 20.373526 42.902798 66.050674 
 15.00  1.299986  8.322581  7.514345 21.277371 44.703965 67.188360 
 15.50  1.348264  8.646739  7.724910 21.735829 43.944219 66.984181 
 16.00  1.477132  9.429039  8.569788 23.474562 43.211759 66.781775 
 16.50  1.510187  9.668602  8.671233 23.893070 46.873686 71.565986 
 17.00  1.607459 10.304317  9.648975 25.770424 47.109860 71.344860 
 17.50  1.752832 11.283600 10.355449 27.368988 45.909532 69.943494 
 18.00  1.797108 11.653858 10.722251 28.110940 47.135176 71.576920 
