  Lamda      L         MW        EW        QLR      POI7      POI17
  0.00  0.118224  0.689287  0.425867  3.197776  2.692783  7.756800 
  0.25  0.120200  0.702332  0.433888  3.257500  2.712174  7.822631 
  0.50  0.118224  0.689287  0.425867  3.197776  2.709773  7.839678 
  0.75  0.121614  0.720717  0.446498  3.296912  2.722372  7.761400 
  1.00  0.127134  0.757189  0.475583  3.415742  2.739808  7.825066 
  1.25  0.128332  0.756972  0.475096  3.399005  2.755019  7.929140 
  1.50  0.131512  0.778418  0.488788  3.496058  2.886063  8.096667 
  1.75  0.138613  0.824551  0.520734  3.630418  2.910356  8.178605 
  2.00  0.137282  0.806272  0.516305  3.594051  2.957252  8.218137 
  2.25  0.144986  0.855462  0.553499  3.759665  2.996177  8.313396 
  2.50  0.161259  0.968746  0.616165  3.984560  3.079840  8.355197 
  2.75  0.162564  0.977858  0.630628  4.057179  3.195860  8.518831 
  3.00  0.169496  1.014633  0.661351  4.105511  3.301299  8.713004 
  3.25  0.183555  1.096554  0.734259  4.424078  3.369853  8.861718 
  3.50  0.192451  1.181310  0.776016  4.597486  3.522827  9.108559 
  3.75  0.199078  1.210054  0.805582  4.711051  3.652894  9.241202 
  4.00  0.205108  1.233923  0.826388  4.848126  3.786466  9.472611 
  4.25  0.224305  1.361854  0.930021  5.106303  3.903541  9.630957 
  4.50  0.235111  1.432432  0.981019  5.268656  4.000033  9.759736 
  4.75  0.246966  1.503507  1.015220  5.411935  4.134749 10.032470 
  5.00  0.266122  1.631661  1.110777  5.688599  4.426275 10.354462 
  5.25  0.267683  1.638402  1.122678  5.860043  4.448017 10.516208 
  5.50  0.283725  1.742313  1.210884  6.060575  4.623187 10.723388 
  5.75  0.295685  1.817338  1.303985  6.341552  4.868263 11.095171 
  6.00  0.326766  2.017687  1.419130  6.681974  4.960730 11.196246 
  6.25  0.351839  2.175921  1.566016  7.122882  5.220864 11.581529 
  6.50  0.348416  2.161727  1.558432  7.184810  5.389720 11.780856 
